t_s,cell1_g,cell2_g,drag_cell3_g
958.073,9.049,2.547,-0.295
959.089,8.925,2.551,-0.256
960.119,8.740,2.397,-0.284
961.120,8.621,2.470,-0.267
962.136,8.484,2.151,-0.270
963.188,8.244,2.183,-0.269
964.221,8.154,2.060,-0.278
